text,sentiment
astaghfirullah,Negatif
media bilang dukung perintah pecah belah bangsa informasi baik akuntabilitas tindak sekongkol cegah tahan koreksi zaman jejal rakyat kacamata kuda menakutinakuti katakata pecah belah pendam bau enak tindak tanggung,Negatif
jual pesawat tempur dana bencana,Negatif
bennix komen dikit,Negatif
prabowo telat merespon kali peristiwa bubble sih wowo nih pecah biar melek dengar bawah,Positif
suka tanah negara jokowi bilang,Negatif
ya indonesia bgtulah nikmat hasil alam gelintir oligarki usaha kakap rakus tamakketika bencana ditanganin pajak rakyat,Positif
o ya omonomon,Positif
hutan babat laut kapling langit orang rakus,Positif
bayang nasib juta rakyat tang mayor teddy sepakterjang pengalamannyaya gelagapankrn informasi tutup teddy,Positif
inti jkw vs prabiwo,Negatif
orang cerdas lingkung indonesia,Negatif
prabowo usaha kelapa sawit pikir lingkung,Negatif
joko daya rusak,Negatif
program egoistis perintah lini dampak,Negatif
nyata bencana nasional,Negatif
kurang sadar alam,Negatif
harta bawa mati kejar dunia mati mati akherat pikir,Negatif
anak muda bicara tang,Negatif
teddy kmna info prabowo,Negatif
rugi bencana sumatera puluh triliun dana bantu pusat miliar perintah dana bnpb potong eh beli helikopter koplaknomics,Negatif
salah ya manusia teknologi meproduksi cfc klorofluorokarbon gas freon ac gas tekan semprot tabung kosmetik n bangsa bmg prediksi cermat hujan lebat n mana hujan shg banjir bandang prediksi,Negatif
dirjen gakum pecat pernyataanya kayu lapuk hasil tebang,Negatif
tanggung rakyat sengaja pilih pimpin,Negatif
era soeharto edan era mulyono he bro bijak era jokowi diam,Negatif
prabowo posisi pengpeng gugup hadap bencana buat manusia sumatera jelas hutan sawit daun akar malu,Positif
rusa habis hutan masyarakat korban tega hukum lahan adat masyarakat kuasa masyarakat adat indonesia merdeka tibatiba kawasan hutan,Positif
dana tanggulang bencana ilangkan prabowo gilas rakyat,Negatif
banjir bandang ya ulah manusia bejat alam bingung hutan gundul jabat perintah pusing deh,Negatif
jahhh narasumber ya greenpeace mbah sorosmbah soros,Positif
tempe narasi propaganda bisa mentang backing asing ya,Negatif
kejadianya kayak demo kemarin musuh selimut,Negatif
banjir longsor pemyenab utama faktor kesarakahan rakus manusiadsmping faktor alam orang bodoh sentuh hukum ind beli alam hukum merekadan keluarga ya,Negatif
media kompas eks ya moga sehat berita aktual percaya semangat,Positif
alam bicara manusia diam rusa alam,Positif
sih hasyim adik sih wowo usaha sawit gede,Negatif
hph buat,Positif
deforestation,Negatif
bangsa salah urus isi jabat korup sayang rubah tiap media berita lemah bangsa ya,Negatif
cuman omon omon beda truk,Negatif
terimakasih tempo daging wawas prof emil salim menomorsatukan sektor ekonomi imbang tata lingkung hidup hutan lestari,Positif
sih omon sebab lindung sebab banjir longsorsalah satu akibat hutan babat ganti sawitbahkan omong luas rakyat korbanharta nyawasemenyara sih rakus pesta sentuh hukumnegara inisampe takyat sabar rakyat ind sabar nrimoitulah sebab gila rakus harap hidup bahagia dipinpim merekakita anak cucu,Positif
oligarki sistem demokrasi,Negatif
aneh orang goblok bilang pohon sawit pohon jenis pohon akar paku bumi sawit,Negatif
wowo gertak trump langsung nayari erikngasih jatah tanah tuh harap bawah beres beres,Negatif
kapai postcase sih tempo kasih bantu tolong manusia ber opini guna laku aksi nyata,Positif
pakai tewas,Negatif
presiden doang rusak internal perintah hopeless banget negara,Positif
presiden perabowo pecat pimpin bnpb jabat sepele hidup mati warganegara indonesia kena bencana aceh sumut sumbar,Negatif
harap negara hukum ya prabowo subianto bebas lenggang pakai narasi akan bencana,Negatif
gubernur mana ya dengar,Positif
desa perahu bot ambul alat tenda kamping jaga bencana alam,Negatif
presiden lambat situasi lapang ulang kali dongk kabinet gemoinya habis uang rakyat ayo jenderal bangun lena tim kerja gemoy banyak tidur pulas,Positif
juragan sawit sumatera nyambi jabat tetap bencana nasional takut audit,Negatif
puluh puluh asa hidup jam firaun rasa tegas pimpin rasa duli pimpin rakyat bicara muak perintah rakyat bayar pajak ngidupin jabat sejahtera rakyat negara jabat malu tanggung pimpin ya salah mundur hormat,Negatif
